State,Year,Quarter,Transaction_Count,Transaction_Amount,User_Count,Avg_Transaction_Value,Transactions_Per_User
Gujarat,2020,2,47420185,80387846359.49063,11392657.0,1695.2242248631176,4.1623464131326
Gujarat,2020,3,59290179,111921752484.71222,12467847.0,1887.6946295728374,4.755446469627033
Gujarat,2020,4,77828547,148393060112.43924,13605203.0,1906.666201958508,5.720498768008092
Gujarat,2021,1,94774565,183700780713.45038,14670126.0,1938.291995467881,6.460378390751381
Gujarat,2021,2,111841396,210162054552.1171,15735981.0,1879.1079338111722,7.107367249617294
Gujarat,2021,3,149248407,272624626113.58826,16946761.0,1826.6501572347654,8.80689867520997
Gujarat,2021,4,182987325,342382580053.6278,18139201.0,1871.0726551887012,10.087948471379748
Gujarat,2022,1,210547146,392548092253.5479,19265314.0,1864.4189660663835,10.928819846902055
Gujarat,2022,2,252052796,446798000976.8455,,1772.6365589566622,
Gujarat,2022,3,303239732,497437502209.4494,,1640.4100443191574,
Gujarat,2022,4,341156018,567918305336.538,,1664.6879297803798,
Gujarat,2023,1,362511326,597826188806.0,,1649.124167794967,
Gujarat,2023,2,416922553,645407208525.0,,1548.026615209276,
Gujarat,2023,3,479303590,707737036450.0,,1476.5944825282866,
Gujarat,2023,4,534115578,795087199074.0,,1488.6051480677838,
Gujarat,2024,1,606576671,871619464924.0,,1436.9485451642106,
Gujarat,2024,2,690395153,910625046933.0,,1318.9910777560167,
Gujarat,2024,3,757441250,963551388101.0,,1272.113696080059,
Gujarat,2024,4,827374966,1076014501422.0,,1300.5161452056793,
Haryana,2018,1,4480770,6793511514.660398,1847357.0,1516.1482322592763,2.4255030294631736
Haryana,2018,2,6150931,11320414442.116419,2447221.0,1840.4391858917647,2.5134350350867374
Haryana,2018,3,8262024,16375139007.6277,3020398.0,1981.976693317243,2.7354090421196147
Haryana,2018,4,12950183,25390876016.455925,3793079.0,1960.6577000846958,3.4141611603660245
Haryana,2019,1,22135775,34051655721.631638,4538767.0,1538.3087206854802,4.877045902554593
